,SOI,nino
1982-11-01,-3.1109304293122606,1.98
1982-12-01,-2.227174712217885,2.25
1983-01-01,-2.9925620095590912,2.26
1983-02-01,-2.995675090239069,1.92
1983-03-01,-2.6669462310755523,1.43
1983-04-01,-1.3944280070647226,0.94
1983-05-01,0.7148673501005018,0.91
1983-06-01,-0.2125068624821333,0.58
1983-07-01,-0.7251747914946032,-0.1
1983-08-01,0.051103777298887314,-0.42
1983-09-01,0.9262889121570428,-0.64
1983-10-01,0.4126807340765865,-1.03
1983-11-01,-0.14813954425290551,-1.19
1983-12-01,-0.07538580195819335,-0.87
1984-01-01,0.15361952481235572,-0.53
1984-02-01,0.499981120704836,-0.11
1984-03-01,-0.5072013994764664,-0.28
1984-04-01,0.29610594728327444,-0.5
1984-05-01,0.08935841876298495,-0.6
1984-06-01,-0.7846407230118543,-0.74
1984-07-01,0.26886376081479146,-0.44
1984-08-01,0.3066226637936144,-0.26
1984-09-01,0.15225501861882293,-0.39
1984-10-01,-0.478913444483833,-0.64
1984-11-01,0.30271993825615384,-1.13
1984-12-01,-0.22908500983392305,-1.31
1985-01-01,-0.31595980867592466,-1.1
1985-02-01,0.5842138004865874,-0.72
1985-03-01,-0.13846447700830788,-0.8
1985-04-01,1.3986280914232398,-0.87
1985-05-01,0.40211288443174337,-0.82
1985-06-01,-0.8663741316588643,-0.77
1985-07-01,-0.1950208969295827,-0.64
1985-08-01,0.8815401584066049,-0.65
1985-09-01,-0.026368187582268277,-0.74
1985-10-01,-0.5383530563878746,-0.56
1985-11-01,-0.2125480417541369,-0.35
1985-12-01,0.129546475209388,-0.5
1986-01-01,0.8110305916959376,-0.63
1986-02-01,-0.9740907754763168,-0.57
1986-03-01,0.12491903904035967,-0.34
1986-04-01,0.22260447100726,-0.15
1986-05-01,-0.5361505125746208,-0.34
1986-06-01,1.1769610845182459,-0.13
1986-07-01,0.2688637608148668,0.1
1986-08-01,-0.7154528821850759,0.28
1986-09-01,-0.5622378061856096,0.53
1986-10-01,0.5909995697886433,0.81
1986-11-01,-1.4363094942786323,0.94
1986-12-01,-1.4586786728394694,1.06
1987-01-01,-0.5977074087688502,1.15
1987-02-01,-1.1425561350399154,1.19
1987-03-01,-1.5607354636711366,1.16
1987-04-01,-2.055941293548685,0.89
1987-05-01,-2.02173422450129,0.79
1987-06-01,-1.9289084440710176,0.98
1987-07-01,-1.851751817445366,1.24
1987-08-01,-1.3542500984217485,1.55
1987-09-01,-1.1576484935226703,1.59
1987-10-01,-0.5383530563878746,1.29
1987-11-01,-0.2125480417541369,1.2
1987-12-01,-0.536483425585266,0.91
1988-01-01,-0.08117014193173107,0.82
1988-02-01,-0.4686946967856645,0.19
1988-03-01,0.2829491486695961,0.12
1988-04-01,0.002100042179216811,-0.23
1988-05-01,1.1058104321865612,-0.94
1988-06-01,-0.2942402711292363,-1.48
1988-07-01,1.1966330763036903,-1.62
1988-08-01,1.5203373746432771,-1.22
1988-09-01,1.9384870806300056,-1.11
1988-10-01,1.423154136445021,-1.97
1988-11-01,1.9773408732897089,-2.01
1988-12-01,1.0005086531716816,-2.01
1989-01-01,1.32756785853311,-1.98
1989-02-01,0.7947954999410378,-1.49
1989-03-01,0.7043627743474402,-1.21
1989-04-01,1.986639901631188,-0.96
1989-05-01,1.574942130689654,-0.74
1989-06-01,0.850027449929927,-0.46
1989-07-01,0.9978253658417512,-0.48
1989-08-01,-0.5876934389377124,-0.5
1989-09-01,0.509501431021073,-0.36
1989-10-01,0.7098787935967262,-0.48
1989-11-01,-0.27695653925551483,-0.44
1989-12-01,-0.5877164948771758,-0.11
1990-01-01,-0.08117014193173107,-0.05
1990-02-01,-1.563719533948816,0.2
1990-03-01,-0.7705849155250741,0.06
1990-04-01,0.0756015184552312,0.14
1990-05-01,1.4185648978553194,0.17
1990-06-01,0.1961601807532888,-0.06
1990-07-01,0.6002099449180235,0.14
1990-08-01,-0.4599339956904216,0.23
1990-09-01,-0.8004020811204204,0.13
1990-10-01,0.1749222864604881,0.22
1990-11-01,-0.5989990267618917,0.15
1990-12-01,-0.33155114841768457,0.28
1991-01-01,0.5292829916030121,0.39
1991-02-01,0.0367013819050356,0.29
1991-03-01,-0.9812917283640559,0.06
1991-04-01,-1.0269206256846506,0.31
1991-05-01,-1.7871683752497434,0.45
1991-06-01,-0.4577070884234423,0.72
1991-07-01,-0.1287516601089363,0.89
1991-08-01,-0.7154528821850759,0.8
1991-09-01,-1.693518112126012,0.59
1991-10-01,-1.2516283992362371,0.83
1991-11-01,-0.7922245192658056,1.2
1991-12-01,-1.766077088590812,1.63
1992-01-01,-2.476024742721972,1.69
1992-02-01,-0.8477417558037135,1.6
1992-03-01,-2.2982093086073943,1.33
1992-04-01,-1.5414309596166678,1.26
1992-05-01,0.16754703518010788,1.1
1992-06-01,-1.1933077662471834,0.66
1992-07-01,-0.6589055546740321,0.28
1992-08-01,0.17886322054632348,0.03
1992-09-01,0.03317288115145136,-0.16
1992-10-01,-1.6677056825644598,-0.39
1992-11-01,-0.7922245192658056,-0.13
1992-12-01,-0.6389495641690275,0.03
1993-01-01,-0.7855391421641517,0.2
1993-02-01,-0.7213927361310145,0.37
1993-03-01,-0.7705849155251341,0.38
1993-04-01,-1.7619353884446274,0.7
1993-05-01,-0.6925277454089556,0.79
1993-06-01,-1.5202414008355023,0.39
1993-07-01,-1.0565209755978353,0.31
1993-08-01,-1.4820095416690393,0.08
1993-09-01,-0.8004020811204204,0.31
1993-10-01,-1.3110680111402109,0.22
1993-11-01,-0.019322549250296202,0.19
1993-12-01,0.0783134059174781,0.1
1994-01-01,-0.12812807528062314,0.07
1994-02-01,0.0367013819050356,0.14
1994-03-01,-0.9812917283640559,0.2
1994-04-01,-1.9089383409966565,0.33
1994-05-01,-1.1616594439121375,0.36
1994-06-01,-0.9481075403059672,0.4
1994-07-01,-1.785482580624795,0.39
1994-08-01,-1.673648706540085,0.47
1994-09-01,-1.7530591808597316,0.42
1994-10-01,-1.3705076230442526,0.75
1994-11-01,-0.7922245192657323,1.22
1994-12-01,-1.2537463956718298,1.33
1995-01-01,-0.36291774202471005,1.07
1995-02-01,-0.30022933722211376,0.84
1995-03-01,0.3356258518792817,0.58
1995-04-01,-1.173923578236763,0.37
1995-05-01,-0.7707163618261674,-0.04
1995-06-01,-0.049040045188020215,0.11
1995-07-01,0.4676714712766553,-0.04
1995-08-01,0.11498349892256908,-0.51
1995-09-01,0.21179608735254254,-0.62
1995-10-01,-0.1222757730597193,-0.71
1995-11-01,0.04508594825100845,-0.91
1995-12-01,-0.5877164948771758,-0.82
1996-01-01,0.8579885250447763,-0.84
1996-02-01,0.03670138190498772,-0.85
1996-03-01,0.6516860711376947,-0.6
1996-04-01,0.8106162812152081,-0.38
1996-05-01,0.2457356515973197,-0.26
1996-06-01,1.4221613104595547,-0.2
1996-07-01,0.7327484185592409,-0.26
1996-08-01,0.49826182866458707,-0.18
1996-09-01,0.6285835684885123,-0.39
1996-10-01,0.4126807340765865,-0.3
1996-11-01,-0.08373104675160085,-0.3
1996-12-01,0.7955763760040421,-0.56
1997-01-01,0.4823250582542267,-0.58
1997-02-01,1.1738425589590868,-0.37
1997-03-01,-0.7179082123153885,-0.2
1997-04-01,-1.3944280070647226,0.18
1997-05-01,-2.021734224501201,0.72
1997-06-01,-2.3375754873064394,1.17
1997-07-01,-0.9902517387771136,1.58
1997-08-01,-1.929167593034739,1.76
1997-09-01,-1.5148949059249206,2.06
1997-10-01,-1.6677056825643923,2.35
1997-11-01,-1.4363094942787056,2.39
1997-12-01,-0.9975810492123968,2.36
1998-01-01,-2.3351509426755093,2.31
1998-02-01,-1.7321848935123667,1.88
1998-03-01,-2.7722996374949838,1.33
1998-04-01,-2.1294427698247,0.85
1998-05-01,0.16754703518019678,0.56
1998-06-01,1.095227675871143,-0.28
1998-07-01,1.5279792604068472,-0.76
1998-08-01,1.0092996016539686,-1.01
1998-09-01,1.0453710496244144,-1.17
1998-10-01,1.06651646502084,-1.33
1998-11-01,1.140030405772968,-1.25
1998-12-01,1.2566739996311729,-1.57
1999-01-01,1.56235752527725,-1.71
1999-02-01,0.7105628201592386,-1.25
1999-03-01,0.9150695871863624,-0.9
1999-04-01,1.6926339965272137,-0.88
1999-05-01,0.16754703518010788,-0.92
1999-06-01,0.1144267721061858,-1.03
1999-07-01,0.6002099449179481,-1.0
1999-08-01,0.2427429421699326,-1.11
1999-09-01,-0.08590925631592021,-1.06
1999-10-01,0.8881976293087831,-1.17
1999-11-01,1.1400304057728947,-1.54
1999-12-01,1.2054409303392628,-1.72
2000-01-01,0.5292829916030121,-1.79
2000-02-01,1.1317262190681392,-1.6
2000-03-01,0.9677462903961078,-1.06
2000-04-01,1.6191325202512834,-0.81
2000-05-01,0.4803015008489552,-0.81
2000-06-01,-0.4577070884234423,-0.72
2000-07-01,-0.3275593705708755,-0.59
2000-08-01,0.5621415502882688,-0.47
2000-09-01,0.9262889121570428,-0.51
2000-10-01,0.9476372412128248,-0.67
2000-11-01,2.106157868292245,-0.73
2000-12-01,0.6931102374202803,-0.86
2001-01-01,0.8579885250447763,-0.74
2001-02-01,1.0474935392863878,-0.58
2001-03-01,0.7043627743473804,-0.44
2001-04-01,0.1491029947312456,-0.41
2001-05-01,-0.7707163618261674,-0.21
2001-06-01,0.27789358940029885,-0.08
2001-07-01,-0.3275593705708755,0.1
2001-08-01,-0.8432123254323669,0.03
2001-09-01,0.09271394988517098,-0.08
2001-10-01,-0.1817153849636932,-0.12
2001-11-01,0.6247624257626039,-0.26
2001-12-01,-0.9975810492123384,-0.36
2002-01-01,0.29449332485887186,-0.18
2002-02-01,0.6684464802683867,-0.0
2002-03-01,-0.4545246962667209,0.15
2002-04-01,-0.21840438664874284,0.2
2002-05-01,-1.3180366767464724,0.52
2002-06-01,-0.5394404970705453,0.79
2002-07-01,-0.7251747914946786,0.75
2002-08-01,-1.4181298200453576,0.73
2002-09-01,-0.8004020811204882,0.92
2002-10-01,-0.7166718920999314,1.16
2002-11-01,-0.6634075242631963,1.4
2002-12-01,-1.1512802570880682,1.4
2003-01-01,-0.1750860086294085,1.01
2003-02-01,-0.6792763962401148,0.8
2003-03-01,-0.6125548058958975,0.52
2003-04-01,-0.3654073392006881,-0.05
2003-05-01,-0.6143391289917437,-0.49
2003-06-01,-1.1933077662471834,-0.12
2003-07-01,0.3351329976355132,0.38
2003-08-01,-0.14053538757208536,0.4
2003-09-01,-0.2645324625170791,0.28
2003-10-01,-0.1817153849636932,0.55
2003-11-01,-0.4057735342580509,0.4
2003-12-01,0.8468094452960101,0.37
2004-01-01,-1.1142446756059692,0.24
2004-02-01,0.7947954999410378,0.23
2004-03-01,0.07224233583061418,0.07
2004-04-01,-1.2474250545126937,0.12
2004-05-01,1.4185648978553194,0.12
2004-06-01,-1.4385079921883994,0.26
2004-07-01,-0.6589055546740321,0.59
2004-08-01,-0.7154528821850759,0.75
2004-09-01,-0.32407353125079874,0.77
2004-10-01,-0.36003422067581764,0.77
2004-11-01,-0.9210415142683416,0.65
2004-12-01,-0.8951149106285771,0.71
2005-01-01,0.20057745816119446,0.64
2005-02-01,-2.5745116913301684,0.34
2005-03-01,0.07224233583061418,0.31
2005-04-01,-0.8799176731327053,0.23
2005-05-01,-1.3180366767465612,0.39
2005-06-01,0.3596269980474019,0.3
2005-07-01,0.13632528717349865,0.17
2005-08-01,-0.6515731605613942,0.19
2005-09-01,0.33087822481998186,-0.02
2005-10-01,1.06651646502084,-0.07
2005-11-01,-0.2769565392554416,-0.6
2005-12-01,-0.07538580195819335,-0.88
2006-01-01,1.2806099251842713,-1.01
2006-02-01,-0.005414957985864055,-0.68
2006-03-01,1.3891599160739518,-0.52
2006-04-01,1.3986280914232398,-0.25
2006-05-01,-0.8489049782433792,0.0
2006-06-01,-0.5394404970704524,0.14
2006-07-01,-0.7251747914946032,0.09
2006-08-01,-1.5458892632927936,0.33
2006-09-01,-0.6217788749193293,0.49
2006-10-01,-1.5488264587563771,0.69
2006-11-01,-0.21254804175421016,1.08
2006-12-01,-0.43401728700144615,1.18
2007-01-01,-0.6916232754665276,0.71
2007-02-01,-0.2581129973312141,0.16
2007-03-01,-0.08578777379862228,-0.07
2007-04-01,-0.14490291037272846,-0.25
2007-05-01,-0.14520743048865056,-0.36
2007-06-01,0.6048272239887108,-0.15
2007-07-01,-0.4600978442121683,-0.34
2007-08-01,0.3066226637936144,-0.63
2007-09-01,0.09271394988517098,-0.85
2007-10-01,0.5315599578846019,-1.03
2007-11-01,0.8179879182665178,-1.26
2007-12-01,1.3591401382149342,-1.3
2008-01-01,1.421483725230734,-1.59
2008-02-01,1.889820337104141,-1.64
2008-03-01,1.2311298064447154,-1.16
2008-04-01,0.5166103761113177,-0.83
2008-05-01,-0.2233960469058624,-0.72
2008-06-01,0.5230938153415149,-0.55
2008-07-01,0.2688637608148668,-0.28
2008-08-01,0.9454198800302868,-0.12
2008-09-01,1.2835353245592929,-0.12
2008-10-01,1.304274912637006,-0.12
2008-11-01,1.5908898882819542,-0.41
2008-12-01,1.2054409303392628,-0.81
2009-01-01,0.9519043917424536,-0.95
2009-02-01,1.30019157863169,-0.74
2009-03-01,0.07224233583061418,-0.54
2009-04-01,0.8841177574913059,-0.16
2009-05-01,-0.5361505125746208,0.24
2009-06-01,-0.1307734538351232,0.43
2009-07-01,0.26886376081479146,0.53
2009-08-01,-0.39605427406673976,0.6
2009-09-01,0.33087822481998186,0.71
2009-10-01,-1.4299472349482938,0.99
2009-11-01,-0.727816021764501,1.54
2009-12-01,-0.7926487720447571,1.79
2010-01-01,-0.9733708755594532,1.58
2010-02-01,-1.3110214946034657,1.32
2010-03-01,-1.0339684315738016,1.0
2010-04-01,1.4721295676991706,0.64
2010-05-01,1.105810432186472,0.11
2010-06-01,0.27789358940029885,-0.46
2010-07-01,2.124402391792514,-0.9
2010-08-01,1.9036157043852229,-1.3
2010-09-01,2.414815630499695,-1.52
2010-10-01,1.7797918078692705,-1.52
2010-11-01,1.5264813907806494,-1.42
2010-12-01,2.6399668705124486,-1.41
2011-01-01,1.984978925416692,-1.59
2011-02-01,1.974053016885941,-1.15
2011-03-01,2.126633761010269,-0.96
2011-04-01,2.4276487592871905,-0.6
2011-05-01,0.3239242680145316,-0.25
2011-06-01,0.1144267721061858,-0.05
2011-07-01,1.1303638394829687,-0.19
2011-08-01,0.2427429421699326,-0.39
2011-09-01,1.104912118358134,-0.65
2011-10-01,0.7098787935967262,-0.8
2011-11-01,1.2044389032741991,-1.03
2011-12-01,2.230102316177228,-1.08
2012-01-01,0.9519043917424536,-0.83
2012-02-01,0.20516674146853844,-0.67
2012-03-01,0.3356258518792817,-0.41
2012-04-01,-0.5124102917527169,-0.27
2012-05-01,-0.14520743048856166,-0.2
2012-06-01,-0.9481075403058744,-0.0
2012-07-01,-0.1287516601089363,0.09
2012-08-01,-0.4599339956904216,0.28
2012-09-01,0.21179608735254254,0.78
2012-10-01,0.2343618983645296,0.58
2012-11-01,0.3671284357574585,0.47
2012-12-01,-0.6901826334609956,-0.46
2013-01-01,-0.08117014193173107,-0.79
2013-02-01,-0.3423456771130134,-0.63
2013-03-01,1.0730996968155389,-0.45
2013-04-01,0.1491029947312456,0.01
2013-05-01,0.9494331993521372,-0.12
2013-06-01,1.5038947191065648,-0.3
2013-07-01,0.8652868922005337,-0.33
2013-08-01,-0.012775944324721828,-0.37
2013-09-01,0.33087822481998186,-0.27
2013-10-01,-0.1817153849637608,-0.13
2013-11-01,0.8179879182664446,-0.19
2013-12-01,-0.02415273266634169,-0.49
2014-01-01,1.2336519918354325,-0.64
2014-02-01,-0.131763977658563,-0.77
2014-03-01,-1.2446752444127236,-0.48
2014-04-01,0.8841177574912225,-0.13
2014-05-01,0.5584901172660781,0.24
2014-06-01,-0.049040045188020215,0.11
2014-07-01,-0.2612901337502291,0.01
2014-08-01,-1.0987312119270942,-0.11
2014-09-01,-0.8004020811204204,0.17
2014-10-01,-0.7761115040039729,0.46
2014-11-01,-1.049858509270951,0.83
2014-12-01,-0.6389495641690857,0.66
2015-01-01,-0.7385812088153663,0.52
2015-02-01,0.0367013819050356,0.47
2015-03-01,-1.0339684315738016,0.5
2015-04-01,-0.21840438664874284,0.81
2015-05-01,-1.2398480603293496,0.91
2015-06-01,-1.1115743576000805,1.07
2015-07-01,-1.4541363965215632,1.36
2015-08-01,-1.929167593034739,1.59
2015-09-01,-1.8126002495934512,1.85
2015-10-01,-1.964903742084532,2.0
